date,content,type,word
1478753594,これはガバガバですわ,2,-1
1478773697,さすが進学クラスｗ,2,-1
1525079667,これは一人プレイですか,2,-1
1532504427,小学生ですか？,2,-1
1478774558,アメリカ国民かな？,2,-1
1479212427,ネオン輝く方かな？,2,-1
1478744895,精神崩壊かな？,2,-1
1478881469,帰国子女かな？,2,-1
1478877864,単発動画かな？,2,-1
1499853589,無礼者かな？,2,-1
1478778939,模倣かな？,2,-1
1514858128,一人でレースしてるのかな？,2,-1
1485183455,練習動画かな？,2,-1
1478926078,プラクティスかな？,2,-1
1478920791,ブレイクコアかな？,2,-1
1478919920,山椒魚かな？,2,-1
1478875406,観光ツアーかな？,2,-1
1478870156,タイムアタックかな？,2,-1
1478868977,マイクオンかな？,2,-1
1478868616,ソロプレイかな？,2,-1
1478798789,ダメンズかな？,2,-1
1487595032,さっきニキの内番の袖出したときにひっかけたのかな？,2,-1
1478865153,左端のはイタリア編に出てきた奴らかな？,2,-1
1478786781,セーフガードの職員かな？（ＢＬＡＭＥ！並感）,2,-1
1478693979,演舞かな？,2,-1
1479741376,思い出にしがみつく…お嬢の言葉かな？,2,-1
1501981122,己が魔羅で尻をするということわざがあってな,2,-1
1501980411,誰でも分かるんだよなぁ･･･,2,-1
1481880069,語彙力,2,-1
1479809395,比較的静かだね,2,-1
1480311779,意味のないこだわりは捨てたほうが身軽になっていいよ。,2,-1
1480303257,むしろ利用料金値上がったのに還元？,2,-1
1480302343,市場の荒波を掻い潜ってきた企業に民主主義政府はなんもできんよ。企業も国民なんだし,2,-1
1480302230,さよなら国産,2,-1
1480297337,高価格の端末を無料かのように契約させるからこうなる,2,-1
nan,殺人者にも愛情深いですよ。,2,-1
nan,臨時休校すれば鎖国もすれば？,2,-1
nan,ある意味正しい姿ですね,2,-1
nan,元気のいいお子さんでいらっしゃいますね,2,-1
nan,マスク２枚ありがとうございます,2,-1
nan,幸せそうでなにより,2,-1
nan,コロナは日本人の考えを改め、諸外国の考え方を学べる良い教材になりましたね,2,-1
nan,単純でうらやましい,2,-1
nan,元気そうで何より,2,-1
nan,何も買わずにイートインコーナーを利用できる人って、すごいよね。 きっと、大らかに育ててもらったんだね。,2,-1
nan,学校の先生ってすごい,2,-1
nan,お金でももらってんの？,2,-1
nan,よかったな、お前の思い通りになって...,2,-1
1478787038,暗殺者っていっても、どこぞの伝説の暗殺者()みたいなものいるしなぁ,2,-1
1486050589,BGMのセンス皆無なのはもこう意識してるん？,2,-1
1485888543,もう動画あげないんですかね？v・。・v,2,-1
1485626289,売名したのに有名になれなかった雑魚ってマジ？,2,-1
1485501451,売名してこの再生数、さすがっす＾＾,2,-1
1485394786,相手の手札みながらはさすがになぁ…,2,-1
1481118301,相手の手札見ながらは流石になぁ・・・,2,-1
1481118278,相手の手札見ながらは流石になぁ………,2,-1
1481118268,相手の手札見ながらは流石になぁ……,2,-1
1481118240,相手の手札見ながらは流石になぁ…,2,-1
1478813775,相手の手札見ながらはさすがになぁ……,2,-1
1478721393,向こうも弱くはないはずなんだけどなぁ…,2,-1
1478953094,いっつも行動を要求されるのは操作キャラ,2,-1
1478779501,だれでもよけられそうｗｗｗ,2,-1
1478706420,普通の人からしたらいい人達よね,2,-1
1479380509,ゴッドの前半の暴れっぷりは気持ちよかった,2,-1
1478991563,動きぎこちないな,2,-1
1478875601,薔薇族に失礼,2,-1
1478856862,これ勝つ気ねーだろ,2,-1
1478793313,さすが先輩,2,-1
1478787709,お前らが生きてること自体ミスみたいなもんなのによく人のミス叩けるな,2,-1
1478782284,このアホ視点は叩かないで他のいい感じの視点にはでっかい口で叩くんだなくそ脳内元帥どもは,2,-1
1478782034,下手くそ二人が仲良く脱落して僕満足！,2,-1
1478781835,初心者なんだろ（適当）,2,-1
1478812821,久しぶりにマイリス多い,2,-1
1478803917,カマキリが編集してるんやろ,2,-1
1478797477,流石に編集雑だわ,2,-1
1478795432,意外とおもろいで,2,-1
1478789728,だから暇なんだろうな,2,-1
1478767283,どこも置いてなさそうな台だな,2,-1
1478732500,ほんと継続だけは強い,2,-1
1478732294,おもろいのはおもろいんやけどね,2,-1
1478731242,調べて面白いと思えるわけがないだろこいつらの頭で,2,-1
1478729051,スペックだけは良い,2,-1
1478723981,おもしろいのに,2,-1
1478718387,最近並ぶ事皆無になったからこれが普通なのか,2,-1
1478718137,イケメンなら対応が違うんだろな,2,-1
1478709821,←ホームレスみたいなのがオシャレ(笑),2,-1
1478704887,たのしそうだな,2,-1
1478704159,ここだけはうまいな,2,-1
1478703145,演出はいいんだよなぁ,2,-1
1479001325,白羽の矢は刺さるものではなく立つ物じゃ。歴史より先に日本語の勉強が必要なのじゃ,2,-1
1478928584,これＮＡＱさんのひき弱いんだよね？実際は当たるよね？,2,-1
1478787817,図書館に書籍寄付してもお礼もなかったですしね。,2,-1
1478785113,隠れがちのクソキャラくんオッスオッス,2,-1
1479910718,逃げるトカゲを騙し討ちのように近付いて倒すのが王の儀式なんですね・・・,2,-1
1479832773,声きれいですね,2,-1
1478828230,土下座はまだですか？ありえないおばさま,2,-1
1479211329,ほかのプレイヤーに迷惑をかける形でのルーニープレイとはどういうものかっていう好例　ムカつくとこも含めて,2,-1
1478777938,残念なメイドだなぁ,2,-1
1536128653,お前がヤれるわけない　愛想笑いで終了,2,-1
1518843422,ファン、空気読め,2,-1
1515762256,掛け声いらんわ,2,-1
1494063564,何で皆、文句ばっかりいうの？？あきれるー笑,2,-1
1494063165,声かけがないと、困ると思うよ？笑,2,-1
1494062961,ファン多くて当然でしょ笑　それに、こんぐらい声かけないとライブにならないよ？？,2,-1
1479332821,凡百の屑は全員パパパッと殺して…オワリッ！,2,-1
1478938229,多分動画としてあまり意識してないんだろな,2,-1
1478938468,KENのセミナーによく顔出してる奴だろ 全然気持ち良さ伝わらんけど,2,-1
1483400007,動画撮ることにも素人なんだろ察したれ,2,-1
1497322285,YouTubeみたら喋り方も商材もケンの真似しててワロタ,2,-1
1488636836,ちょいちょい神格化しすぎな奴いんな,2,-1
1495901198,ある程度いろんな絵を見ててもらわないと説明してあげることすら出来ないんだよなあ,2,-1
1495901279,岸本が影響受けた大友とかメビウスとかの方をまず見てから判断した方が良いと思うんだよな,2,-1
1495901759,風景画だな。キャラがいる意味がない,2,-1
1495902308,今週刊で描いてる人で総合力で凄い人って全然いないな。月刊なら幸村誠とかいるんだけど,2,-1
1478778425,こんなん完全にチャテロ,2,-1
1478735263,やめりゃいいじゃんw,2,-1
1478812774,我慢して持ってたら助かってたのに・・・,2,-1
1478844992,これはどちらさんの放送？,2,-1
1478949935,はいはいｗ,2,-1
1478707490,この前の怪文書と大違いっすね…,2,-1
1478720981,ANさぁはいろいろ裏で手を回してそう,2,-1
1478721249,D．屋上で刃傷沙汰を起こす,2,-1
1478726936,選択肢にまともなのがないんですがそれは,2,-1
1478773625,容赦ないマジレスといいまわしで草,2,-1
1478782618,糞真面目な奴が一番損するってそれ一,2,-1
