date,vpos,content,command,type,word
1173204264,4668,フルCGだねぇ,,,
1173249927,7414,キャラソングとか、声優が歌うって文化の前身？,,,
1173275513,486,走っているコースは実際の大会で使われてたやつだったって知ってますか？,ue red,nan,nan
1173337685,1101,酔う酔う酔う,,,
1173338334,4122,ハリケーンソニックてＴＺか,,,
1173443210,507,神曲,red,nan,nan
1173443252,559,↑９６か９７年のＧＪＣのコースだっけ？,shita,nan,nan
1173454151,1836,レツゴーで一番好きな曲だ。,big green,nan,nan
1173462262,4906,はああ　いいわー,,,
1173527621,1045,他のコースを走っている奴のＥＤでも、走っているコースは全て実際の大会で使われてたやつです。,big yellow,nan,nan
1173548264,3378,映画版観たいぜ……ガンブラスター・・・・,,,
1173549398,6758,あぁ懐かしいぜ、神曲だ,,,
1173592090,3537,２番はソロがあるんだよね,,,
1173755423,4655,ネオトライダガーは俺の愛機,,,
1173859680,5862,うぇ,,,
1173941911,248,CDもってる…,shita,nan,nan
1174234129,3874,レッツゴー！,big green,nan,nan
1174234321,833,なつかしい。。。。,,,
1174234366,5407,ヘイ！！！！！,,,
1175094310,1074,レッツゴーと聞いて飛んできました,big green,nan,nan
1175094323,2406,こんなコースあったらよくね？,big green,nan,nan
1175167149,2471,↑実際に大会で使われました。他のＥＤでコースは知っているやつはみんな実際の大会で使われたやつですよ。,shita red,nan,nan
1175213814,1366,いい曲だな,,,
1175463342,3174,誰か　ぱっぱっぱらぱっぱっぱぱらいぇいいぇいえー　てED知らないか？,,,
1175468250,3276,↑スマン解決した,,,
1175669598,6149,ソロ持ってる,,,
1175963632,1118,当然持ってる,,,
1176136808,522,ぱっぱ　ぱっぱ　ぱっぱらぱら　ってやつも好き,,,
1176358228,6623,Sha la la la la la la・・・,,,
1176369634,1152,うぃーあーざーびーくとーりーず,,,
1176994954,3318,ちゃーちゃらららーらーらーマイドリーム　　ってなんだっけ,,,
1177304464,2465,kimoi,,,
1177304508,6763,うぇうぇ,,,
1177470981,5222,主題歌集のフルコーラスで藤吉のソロが分からない…,shita,nan,nan
1178039511,1032,なつかしい,,,
1178039570,6925,歌える自分がいる,,,
1178113470,3114,リョウの声だけ浮いてて笑える,,,
1179225338,2696,ノリノリだな,,,
1180371237,2453,この曲はかわいくて好き,,,
1180371263,5151,これのフルききたい,,,
1180828518,982,ﾅﾂｶｼｽ,,,
1180852203,3840,レッツゴー！！,big pink,nan,nan
1181833815,3647,リョウワロスｗ,,,
1181833830,5768,うぃーあーざ　びーーーくとーーーりーーーーず,,,
1183810085,2518,水の上イィネ(・∀・),,,
1183818356,65,これは名曲,shita big red,nan,nan
1183818706,5342,藤吉のソロはリョウの後の「So! Let's Go!!」だけ,,,
1184609448,6031,これのカップリングもネ申だったなぁ　BATTLE SCRUM誰か知ってる？,,,
1185428845,805,なにこれ,,,
1185428871,3458,たしかに,,,
1185428908,7107,リョウｗｗｗっｗｗ,,,
1185428908,7191,ｗｗ,,,
1185449478,536,あーｗ,,,
1185449481,865,なっついなｗ,,,
1185594176,6262,リョウの声がGAのフォルテさん並に浮いてるｗｗ,,,
1186483308,1170,この曲好き！！！とくに烈と豪がいいーーーーー！！！！！,orange,nan,nan
1186483368,5081,CDかったーーー！！！（テーマソング,green shita small,nan,nan
1186558826,7335,土屋の声はいってない？,,,
1187671915,3281,なつかしす,,,
1187721404,499,なっつかしいいいいいい,,,
1187721417,1771,あまりの懐かしさｗ,,,
1187721449,4942,うむTZだがなにか,,,
1188738722,4282,サイクロンからＴＺだよ,,,
1189879160,6721,なつかしい,,,
1190124866,7316,スーパーサイクロンサーキット,shita,nan,nan
1190279516,7353,入ってるよ,,,
1190376403,823,これ神曲すぎてマジ泣ける,,,
1190376428,3414,教室で歌ってたのが懐かしい,,,
1190376438,4410,２番の方がみんなのソロがあって好きだ,,,
1190451007,643,なつかしい,,,
1190451039,3866,レッツゴーなにげに神曲多いよな,,,
