comment,type,,,,,,,,,,
いまいち,1,,,,,,,,,,
想像つくだろ,1,,,,,,,,,,
無駄,1,,,,,,,,,,
パクりじゃねーかよ,1,,,,,,,,,,
かみ合わない実況,1,,,,,,,,,,
ガチャプレイきもいです,1,,,,,,,,,,
なんかフォントが安っぽいな,1,,,,,,,,,,
お前のコメントがきもいです,1,,,,,,,,,,
全体レベルひくっ,1,,,,,,,,,,
真ん中の男いらね,1,,,,,,,,,,
腹から声出せや,1,,,,,,,,,,
ブス女の嫉妬が臭いｗ,1,,,,,,,,,,
女ども嫉妬で発狂,1,,,,,,,,,,
悪コメする人はブスでデブな人です。,1,,,,,,,,,,
自分が好きならいいじゃん、アンチに対して嫉妬とか自分の価値観を押し付けるなよ荒らすなよ迷惑,1,,,,,,,,,,
いいこと教えてあげる　　　　　嫉妬してる奴は外も中もブス,1,,,,,,,,,,
こんな低レベルが評価されるとかﾜﾛﾀ,1,,,,,,,,,,
お前ホモかよぉ！,1,,,,,,,,,,
こいつきもい,1,,,,,,,,,,
おいうp主糞萌え豚アニメと混ぜんな,1,,,,,,,,,,
おもんねーから,1,,,,,,,,,,
おまけくそつまらん,1,,,,,,,,,,
最後のおまけで台無しだわ　センスなさすぎ,1,,,,,,,,,,
可愛いけど微妙,1,,,,,,,,,,
へた,1,,,,,,,,,,
低いすぎかな,1,,,,,,,,,,
読点入れすぎや説明文,1,,,,,,,,,,
うぜぇ・・・,1,,,,,,,,,,
ここのサークルは、歌はいいのに曲がしょぼい,1,,,,,,,,,,
ほっとんど好かれてないんだよなこの人,1,,,,,,,,,,
ゲスヤロウは死ねよ,1,,,,,,,,,,
淫夢厨しね,1,,,,,,,,,,
音程ずれずれ。もっと原曲聞け,1,,,,,,,,,,
顔でかすぎｗ,1,,,,,,,,,,
ごみ,1,,,,,,,,,,
この人でなし！,1,,,,,,,,,,
ディズニーバカ,1,,,,,,,,,,
主コメ二次元とか何言ってんの？ちゃんと歌詞聴いて考えてから歌えks,1,,,,,,,,,,
しかも下手,1,,,,,,,,,,
シーモアうぜえ,1,,,,,,,,,,
ﾋﾞｯﾁ４ね,1,,,,,,,,,,
頭固すぎワッカ,1,,,,,,,,,,
募金かよ,1,,,,,,,,,,
ワッカうぜぇわ,1,,,,,,,,,,
やっぱ女ってｋｚだわ,1,,,,,,,,,,
宗教ズうぜえな,1,,,,,,,,,,
自分で考えることもできないのかこのカブトムシ,1,,,,,,,,,,
こいつら顔一緒じゃん,1,,,,,,,,,,
ワッカ４ね,1,,,,,,,,,,
やっぱり女は屑,1,,,,,,,,,,
ネタに決まってんだろ,1,,,,,,,,,,
帰って、どうぞ,1,,,,,,,,,,
ワッカ死ね,1,,,,,,,,,,
うっさ,1,,,,,,,,,,
ここ地味に長いから嫌い,1,,,,,,,,,,
アーロンざっこ,1,,,,,,,,,,
腹から声出せ,1,,,,,,,,,,
キマリはgm,1,,,,,,,,,,
強打がやかましいな,1,,,,,,,,,,
手キモｗ,1,,,,,,,,,,
視線なんて見えねーだろ,1,,,,,,,,,,
だれだおまえは,1,,,,,,,,,,
声が小さいね 再投稿願います,1,,,,,,,,,,
きめえ,1,,,,,,,,,,
負け犬の遠吠えじゃんｗ,1,,,,,,,,,,
もうちょい練習しようか,1,,,,,,,,,,
よわｗｗｗ,1,,,,,,,,,,
アブ４ね,1,,,,,,,,,,
クソガキ、クソガキを語るクソガキにクソガキを語る,1,,,,,,,,,,
どんだけ時間かかってんだよ,1,,,,,,,,,,
ワッカうぜぇ,1,,,,,,,,,,
こえきも,1,,,,,,,,,,
偽物めっ,1,,,,,,,,,,
は？,1,,,,,,,,,,
これきらい,1,,,,,,,,,,
アバターやめろ,1,,,,,,,,,,
ここだいきらい,1,,,,,,,,,,
安物すぎィ！,1,,,,,,,,,,
きたない,1,,,,,,,,,,
うーん微妙,1,,,,,,,,,,
きめーな,1,,,,,,,,,,
プレイ動画ならちゃんとタグつけて,1,,,,,,,,,,
ぶっさいくｗ,1,,,,,,,,,,
馬鹿でブスばっか調子のりすぎ,1,,,,,,,,,,
だせえ,1,,,,,,,,,,
ぶっさ,1,,,,,,,,,,
よえええ,1,,,,,,,,,,
そんな事お前が決めんなよヴォケナス,1,,,,,,,,,,
エンコもまともに出来ないクソムシは動画あげんなよ,1,,,,,,,,,,
ゴミ動画,1,,,,,,,,,,
こいつ死ぬべき,1,,,,,,,,,,
彼女すらいない人間からすれば死んでもらいたい,1,,,,,,,,,,
恥ずかしく無いのかよ,1,,,,,,,,,,
や～い、乗っ取られてやんの,1,,,,,,,,,,
噛みすぎわろろ,1,,,,,,,,,,
きっめえ,1,,,,,,,,,,
下手すぎw,1,,,,,,,,,,
捨てゲーするならイベやるなゴミ！,1,,,,,,,,,,
へたくそが！,1,,,,,,,,,,
おもしろくない,1,,,,,,,,,,
きもい,1,,,,,,,,,,
死刑,1,,,,,,,,,,
下手,1,,,,,,,,,,
きもい・・・,1,,,,,,,,,,
お前は年がら年中頭がおかしい,1,,,,,,,,,,
きもすぎわろたｗｗｗ,1,,,,,,,,,,
髪型きしょい,1,,,,,,,,,,
うるせえよカタカタ先輩,1,,,,,,,,,,
馬鹿野郎,1,,,,,,,,,,
うるせーな,1,,,,,,,,,,
くだらないコメントが上がるのはあなた自身の問題だと思いますよ～,1,,,,,,,,,,
お前が４ねやカス,1,,,,,,,,,,
こいつほんまうざい,1,,,,,,,,,,
もうさ、死ねば,1,,,,,,,,,,
こんなクズ相手すんなよｗｗ,1,,,,,,,,,,
主確かにキモい,1,,,,,,,,,,
こいつキモいー,1,,,,,,,,,,
赤字ってうざいやつしかいないな,1,,,,,,,,,,
きもいいいいいいい,1,,,,,,,,,,
気持ち悪い,1,,,,,,,,,,
佐川はマジで死んで欲しい,1,,,,,,,,,,
誤字ワロタｗｗ,1,,,,,,,,,,
へたくそ,1,,,,,,,,,,
へたくそやめてまえ,1,,,,,,,,,,
こんなふうにやるならやらないほうがまし,1,,,,,,,,,,
これ連環いらないでしょ,1,,,,,,,,,,
弓にすればよかたのに,1,,,,,,,,,,
これで負けんのかよ,1,,,,,,,,,,
せっかくのアドバイスに聞く耳もたなすぎ,1,,,,,,,,,,
在日市ね,1,,,,,,,,,,
池沼タヒね,1,,,,,,,,,,
熊かわいくないw,1,,,,,,,,,,
遅いよバカー！,1,,,,,,,,,,
5分戦だしもっとガツガツ戦った方がいいと思います,1,,,,,,,,,,
ショットガン以前に立ち回りが酷い…,1,,,,,,,,,,
うざい,1,,,,,,,,,,
ほんとに頭わりーな・・・,1,,,,,,,,,,
うわっきもっ帰るわ,1,,,,,,,,,,
バカだから,1,,,,,,,,,,
クズめ,1,,,,,,,,,,
ざっまあみろ,1,,,,,,,,,,
可愛そう、てかコーチ死ね！,1,,,,,,,,,,
連携悪いな,1,,,,,,,,,,
いきなり誤字かよ,1,,,,,,,,,,
お互い下手すぎるわ,1,,,,,,,,,,
これはひどい,1,,,,,,,,,,
引退しろやくず,1,,,,,,,,,,
しね,1,,,,,,,,,,
もう動画あげるな,1,,,,,,,,,,
下手すぎわろた,1,,,,,,,,,,
マジで下手くそだな,1,,,,,,,,,,
相方のこと考えないんだったらやめろ,1,,,,,,,,,,
周り見てなさすぎ,1,,,,,,,,,,
質問が下手糞だね,1,,,,,,,,,,
アホすぎ,1,,,,,,,,,,
画質が・・・,1,,,,,,,,,,
おせええええええ,1,,,,,,,,,,
そらパクリだもん,1,,,,,,,,,,
は?,1,,,,,,,,,,
へた,1,,,,,,,,,,
なんだこのデブ,1,,,,,,,,,,
うまいんだけど息の切り方が微妙かな,1,,,,,,,,,,
バカにつける薬はない,1,,,,,,,,,,
もういい加減男いらねぇからところ構わず出てくんなよ　しね,1,,,,,,,,,,
きもい,1,,,,,,,,,,
いちご死んで欲しい,1,,,,,,,,,,
いちごバカだよね,1,,,,,,,,,,
きも,1,,,,,,,,,,
気持ち悪い！,1,,,,,,,,,,
シネ,1,,,,,,,,,,
死んで？,1,,,,,,,,,,
きも,1,,,,,,,,,,
しね,1,,,,,,,,,,
気持ち悪い曲,1,,,,,,,,,,
しかしクソの役にも立ってねえなぁｗ,1,,,,,,,,,,
どうやっても墓回避できないとかクソゲーすぎる,1,,,,,,,,,,
馬鹿じゃないのかこんな動画うｐするなんて,1,,,,,,,,,,
著作権厨に人権はありませーんwww,1,,,,,,,,,,
著作権厨ざまあwww,1,,,,,,,,,,
ざまあwwwww,1,,,,,,,,,,
手首とか弐寺やる資格ねーよ。しねよ,1,,,,,,,,,,
引退しろキモオタ,1,,,,,,,,,,
きめー,1,,,,,,,,,,
ただの泣き虫,1,,,,,,,,,,
