      No,                                                       content,        type
1,喋り方と声がキモすぎる,1
2,不快なら見るなよ馬鹿なの？,1
3,カイジみたいな口調だなｗｗ,1
4,つまんね,1
5,まぢうざい,1
6,へたくそ,1
7,ネタ動画としては久しぶりの低レベル,1
8,きったねえ声,1
9,普通にキモイです,1
10,棒読み酷いな,1
11,ナレーターうぜぇ,1
12,死んでしまえ,1
13,つまんねぇ人間は何処行ったっておもしろい事なんてねぇんだよ,1
14,無駄な税金使わすなよバカDQNは・・・,1
15,マジでアホ,1
16,一人声も発言もきもい奴いるな,1
17,クズやろうが,1
18,ゲームへただな・・・・,1
19,いつものキチガイ妄想のあれだよね,1
20,犬ＨＫ，アサヒ、毎日、ＴＢＳ，クズばかり,1
21,みずほ薄汚いババア,1
22,ボケ老人,1
23,じゃあ大臣辞めろ,1
24,国防は仮定の事態に備えるものなんだよ！お前バカか！,1
25,国会議員やめろ,1
26,史上最低のクズ政権,1
27,改めて訊いてもやっぱ基地外,1
28,言い方が回りくどいんだよ屑閣僚が！,1
29,このアホども辞めろーーーー,1
30,だったら閣僚になんなよｋｓ,1
31,ゴミだおまえは,1
32,痴呆じじいしね,1
33,無能すぎる,1
34,くたばれ瑞穂！！,1
35,ほんと左翼とか売国は知能低い,1
36,社民存在価値無し,1
37,最初から言え馬鹿,1
38,嬉しそうに言うなクソ女,1
39,今の内閣って、知能障害なのかな・・・・,1
40,意味が分からない？？オマエも大臣辞めろ！！！,1
41,誰かこいつ刺してよ,1
42,こいつ死ねよ,1
43,馬鹿に投票した奴池沼だろ,1
44,こんな無能な連中が大臣とは・・,1
45,日本語できないなら政党やめろバカ,1
46,なんで死なないの？このくされババア,1
47,お前らクズの方がいらね,1
48,左のゴリラ誰？,1
49,読みとかはそこそこいいのにコメントがキモすぎて台無しだな,1
50,リアルならきめえな,1
51,もう民主主義いらねえな,1
52,民主・・・死ね,1
53,まじクソ政権だろ,1
54,こいつ、馬鹿だな,1
55,だから幾らぐらいかって聞いてるだろカス,1
56,さんすうの能力が無いんだな,1
57,なんでこんなアホな法案が通るん,1
58,頭おかしいのか？？？,1
59,デブ死ね,1
60,まじ、うぜーーーーーーーーー,1
61,お調子者の馬鹿しかいねぇんだろ,1
62,声きもい,1
63,馬鹿野郎、さっさと調べて比較しろ,1
64,意味わからんボケ,1
65,悲惨なチビ,1
66,舌滑が悪い,1
67,こいつら自分の意見はないのかな？,1
68,お前の顔の脂肪を仕分けしろ,1
69,計画性ナシ軍団だからな,1
70,君は馬鹿なの？,1
71,朝鮮人やん,1
72,本物のきち,1
73,こいつ死んだほうがましだな,1
74,関西人のくせにつまんねぇな、しねよ,1
75,こいつは頭がおかしいのか？,1
76,テラオタク,1
77,だれこのきもいやつ,1
78,怖いの？顔出せよカス,1
79,顔隠してる時点でヘタレ,1
80,にわかおつや～じゃねーよきもい,1
81,だれこいつ汚い顔,1
82,だれおまえきもいしねかすわたくし,1
83,歪んだ空間にいる歪んだ人間,1
84,頭悪そうな喋り方だね,1
85,こいつ頭悪いだろ,1
86,口だけだなコイツ,1
87,顔みせねえなら投稿すなカス,1
88,ロリコンキモすぎ,1
89,残念なごみですね,1
90,頭悪いただの馬鹿だね,1
91,頭が悪すぎてかわいそう・・・,1
92,息くさいだろお前,1
93,なかなかきもい,1
94,てめぇみたいなのが入るから日本語だめになるんだよ,1
95,こいつの親可哀想だな,1
96,気色悪い,1
97,ほんと、クズだな,1
98,お前の顔がおもんないぞ,1
99,相当馬鹿だよこの人乙,1
100,自慢すんなカス,1
101,なにこのくず,1
102,ロリコンしね,1
103,へんな面しやがって,1
104,しらねえよ、馬鹿,1
105,くず、きえうせろ,1
106,あほあほあほあほあほ,1
107,頭がよわいな,1
108,お前こそ顔出せやｋｓ,1
109,目は細くて口はタラコです,1
110,現実で嫌われてるもんね♪,1
111,こんなカスが自分の幸せ妄想してかわいそうだな,1
112,え、なにこの子気色悪っ,1
113,あーやばい目が腐る,1
114,しゃべんな耳聞こえなくなる,1
115,顔だせよチキン,1
116,おいマザコン,1
117,語彙力なさすぎワロタ,1
118,こいつは重傷だ中二病の重傷,1
119,高校生だからこんなに頭悪いのか,1
120,糞ガキだからこんなに頭悪いのか納得,1
121,いつ脳みそ中学生なみ,1
122,在日は韓国帰れ,1
123,キモすぎ吐きそう,1
124,おいおいロリだぜこいつ,1
125,ねぇねぇいつ死ぬの？早く自殺実況してよ＾＾,1
126,学校で相当嫌われててボッチなんだろうな・・・,1
127,おたくのしゃべり方やんけ,1
128,しらねーよカス,1
129,コイツ頭悪いねん！,1
130,コイツなんの病気だ！,1
131,顔隠しまくりの口だけ、口も弱いけど！,1
132,金持ち自慢情けないガキのロリータ馬鹿,1
133,画質よりてめぇの方がｋｓだな,1
134,ニコニコ動画なんかに金かけてるやつはあほですね,1
135,うわぁキチガイはいってますね,1
136,きもくて鳥肌たった,1
137,顔出さないとかチキンの証拠,1
138,こいつは世紀のバカ,1
139,エセ金持ち発言おつ,1
140,嘘はてめーだばーか,1
141,消えて,1
142,だまれ無名,1
143,顔も出せないヘタレに言われてもなぁ,1
144,頭悪いから、こんあ放送してるんだよね,1
145,うわっ君口臭いな～,1
146,ロリコンヘタレンゴ,1
147,この人、おバカさんですね,1
148,お前が一番おもんないし気持ちが悪い,1
149,この人おかしいね,1
150,ゲーム馬鹿,1
151,14歳のメスゴリラだろ,1
152,このガイジの動画結構伸びとるやん,1
153,腐れニートがでしゃばるんじゃねえ,1
154,キモオタ確定だな,1
155,こいつほんとカスな,1
156,基地外だな・・,1
157,こんなんが国家戦略大臣かよ,1
158,自殺すればいいのに,1
159,まじでウザイ,1
160,老害 of 老害,1
161,こんなに頭悪い奴が政権の中枢です,1
162,赤松死んでくれ,1
163,もういいから国に帰れよ,1
164,相手が下手すぎる,1
165,ロリババア,1
166,冗談ぬきで本気でこの腕前かい？よく出せるな,1
167,88以外出撃するなカス,1
168,最悪だな、砂で負担かけてて、散弾って,1
169,普段絶対いわないけど・・・才能なし！,1
170,誰も当たんないよ、下手糞,1
171,お前みんなに金返せよ,1
172,土下座動画上げろ！！！,1
173,目の前にいたら絶対ぶん殴ってやる,1
174,こいつはほんとに日本人なの？,1
175,生かしておけないレベルの人種,1
176,フェミニストを提唱するババァに善人はいない,1
177,くっせえええ,1
178,社会主義者のババアはショートカットが多いな,1
179,マジできもいな,1
180,9分もかかって何言ってんだコイツ？,1
181,おまえらがいなくなれば日本はよくなるとおもうよ,1
182,語録が少ない死ね,1
183,きたねえBGMだなあ,1
184,このババアまだ生きてたのか,1
185,マジでナチス以下だな。内政すらうまくない,1
186,黙れよクズが,1
187,民主は人間のクズばかり,1
188,アホ山総理,1
189,このばばぁ　頭おかしいな,1
190,人間としての知性が皆無だな,1
