,date,content,type,word
0,1484213517,初見,0,-1
0,1479082461,セクシー これはイイ,0,-1
0,1478784215,８８８８８８８８８８８８８８８８８８８８８８８８８８,0,-1
0,1478783997,さすがやなぁ,0,-1
0,1479038792,ネコ満足♪,0,-1
0,1479038660,何だか豪華そうだな。,0,-1
0,1478777522,新鮮なお水もあげるとなおいいゾ,0,-1
0,1478777482,白淡ｗ,0,-1
0,1486593314,さっきのイベントが分岐でこっちがメインだった,0,-1
0,1486593131,小夜ちゃんのは本編とは無関係の裏イベントじゃないかな,0,-1
0,1486593051,ちゃんと聞き込みしなかったからね,0,-1
0,1486592826,どうだろうねぇ,0,-1
0,1486592373,「番組」だから仕方ないね,0,-1
0,1479484335,おつう,0,-1
0,1479484180,ブルースカイ！,0,-1
0,1479483498,こむぎさんヒドイ！ｗ,0,-1
0,1479483368,デスクリムゾンかな,0,-1
0,1479483279,うぽつう,0,-1
0,1478694614,うごきｗｗｗ,0,-1
0,1478694205,いい顔してるわーｗｗｗ,0,-1
0,1478693992,まーたこれか,0,-1
0,1478693908,技の説明わらう,0,-1
0,1478693867,やるなー,0,-1
0,1478693835,人に頼むのもほぼズルだよなｗ,0,-1
0,1478693779,いい笑顔,0,-1
0,1478693673,なんか唐突ね,0,-1
0,1478693602,かみかみ,0,-1
0,1478693448,さすがになー,0,-1
0,1478693356,せっこｗｗｗｗｗｗｗ,0,-1
0,1478693351,１００円ｗｗｗｗｗｗｗ,0,-1
0,1478693334,ひっどｗｗｗ,0,-1
0,1478693323,ふつーに歩きすぎｗｗｗｗ,0,-1
0,1478693275,拾ってくれたらうれしいけどねｗ,0,-1
0,1478693271,うーん、もしするとしたら動画の最後かなーでもあまり拾いすぎなくてもいいかな,0,-1
0,1478693228,わかるわー,0,-1
0,1479576239,参考になりました。,0,-1
0,1479526617,砲術師の火力がいくらあれば足りるのかな？,0,-1
0,1479526423,これでいけちゃうのか。,0,-1
0,1532948684,フラグ立ては重要だからね！,0,-1
0,1520609274,最序盤ならむしろ良かったでしょ,0,-1
0,1482696121,ちょまｗ,0,-1
0,1479470812,かわいいなぁ･･･,0,-1
0,1478951344,ミドリ・クィ「・・・・・・」,0,-1
0,1478844530,これが２人の出会いになるのかｗｗｗ,0,-1
0,1478791505,おつですw,0,-1
0,1478791393,この頃からフラグがw,0,-1
0,1478783054,この時は互角の力を持ってる蝶々への善意なのかな～,0,-1
0,1478782482,あぁ...そういえば最初はみかんラブだったな...,0,-1
0,1478772411,お疲れ様ｗ,0,-1
0,1478771658,紫かｗ,0,-1
0,1478769394,射命丸のセービングが光るな,0,-1
0,1478768837,ここまで来ると、キャラクターに愛着が沸くね,0,-1
0,1478768565,おつなのですｗ,0,-1
0,1478765407,早いｗUP乙,0,-1
0,1534321138,体力ゲージの色が緑から黄色に近い色に変化してません？,0,-1
0,1522265249,←うわぁ…なに怒ってるのぉぉ？？？,0,-1
0,1517989042,周りの草に燃え移る心配があったのｋな,0,-1
0,1517989008,うん。やさしさだ,0,-1
0,1517988992,燃やしたげよう・・・,0,-1
0,1517988814,何でわざわざ災いを,0,-1
0,1517988499,セーブの音いいなあ,0,-1
0,1517988472,むしろそっちのが要るだろ,0,-1
0,1517988423,今ｗ,0,-1
0,1517988368,クリスってタバコ吸うの？,0,-1
0,1517988235,訪れ,0,-1
0,1517988076,生コメ～,0,-1
