date,content,type,word
1478779484,トリ頭だから言ってんだろ,1,トリ頭
1478772064,レベルレベルいつまで言ってんの…鳥頭かよ,1,鳥頭
1491914727,やり返しってか？醜いね。,1,醜い
1496282105,見るだけ無駄な時間だった,1,無駄
1482657712,一般人からしたらゴミでしかないｗ,1,ゴミ
1479044212,これゴミだろ,1,ゴミ
1511606989,まじざけんな,1,ざけんな
1511606959,ざけんな,1,ざけんな
1511606808,ハゲやん,1,ハゲ
1511606695,馬鹿馬鹿しい,1,馬鹿
1509796685,ソフトバンクはほんと害悪,1,害悪
1509267548,禿,1,禿
1506258635,無能,1,無能
1504421611,　キャリアがマジでなめてる。,1,なめてる
1503753962,無駄金,1,無駄
1503753874,ぶっさ,1,ぶっさ
1503729113,編集の仕方が偏向ワイドショーと同じで気色悪かったわ,1,気色悪
1478862449,なにいってんだこいつ,1,こいつ
1478733670,安定のぬま,1,ぬま
1534304363,産業スパイ,1,産業スパイ
1478690942,中将なのになにいってんだごみ,1,ごみ
1518441392,下手すぎ,1,下手すぎ
1478926997,うぜぇw,1,うぜ
1478705085,曲いいのに振付がちょっと微妙かも。。,1,微妙
1526739749,頭悪いのか？,1,頭悪
1526739740,文脈を読み取る力が弱いなコジマ,1,弱い
1503492829,自分を強者だと思ってる勘違い野郎,1,野郎
1478785314,サイコパス気質なんだろ,1,サイコパス
1478856117,世論調査はマスゴミの情報操作,1,ゴミ
1478715278,糞・マスコミと日本中枢の売国奴・工作員の消滅時代が始まる。！,1,糞
1478844051,うるせぇ赤文字,1,うるせ
1478838462,ごみかよ,1,ごみ
1478838288,雑魚視点,1,雑魚
1478837842,グッピー普通に下手くそだからな,1,下手くそ
1478837244,後ろから適当に撃ってるだけのクソｗｗｗｗｗｗｗ,1,クソ
1478778528,これはロリコンですわ,1,ロリコン
1478777648,くそごみ大石みてるか～？,1,くそゴミ
1478768865,ゴミ,1,ゴミ
1478768211,着地取る気もなく射撃垂れ流してただけのゴミだったな,1,ゴミ
1478767462,通信つまんな,1,つまんな
1478765206,本当にクソみたいな立ち回り,1,クソ
1478764711,バカだろ,1,バカ
1478762953,へったくそ,1,へったくそ
1478762861,ゲームやめろ,1,やめろ
1478762851,へたくそ,1,へたくそ
1483455098,４ねやｋｓ女,1,4ね
1483455078,ゴミかこいつ,1,ゴミ
1480518267,くず女,1,くず女
1479976547,こんな店あんの？死ねよほんとに,1,死ね
1479878955,態度わりーな女,1,態度わり
1479454404,は？店が指示出してんの？アホちゃう？,1,アホ
1478975750,ムカつく店員やな,1,ムカつく
1478975670,まあ不細工二人やからつまらんのよ!,1,不細工
1478966517,なんだこのクソ編集は,1,クソ
1478938428,女の方が舐めとるやろ,1,舐めとる
1478934811,センスないわ,1,センスない
1478901741,なにこのごみ,1,ごみ
1478868558,スロット打つ奴まじでアホだな,1,アホ
1478868299,さやカスｗｗ,1,カス
1478868224,なんもおもしろくない,1,おもしろくない
1478867332,北斗に比べて低設定の誤爆がないからボッタ地域じゃゴミカス評価だな,1,ゴミカス
1478787714,よわすぎ,1,よわ
1478785918,やるおネタばれやめろや死ね,1,死ね
1478785882,このホクロにわかすぎんだろ,1,にわか
1478785812,さすが柏、ゴミだなw,1,ゴミ
1478784511,仕事なめてる？,1,なめてる
1478782398,やるおのしゃべりかたくっそきもいな,1,きもい
1478780462,汚い,1,汚い
1478780314,マジで糞な店やなー,1,糞
