date,content,type,word
1478702227,しなの～,nan,nan
1478705115,滑らかだねぇ(∩´∀`∩),nan,nan
1478706623,大将組でやってくれると思ってた！,nan,nan
1478707334,シンプルでかっこいいな,nan,nan
1478708385,短刀とは思えない色気,nan,nan
1478708510,大将組も髪色、ズボン丈の違いがバランス良くていいね,nan,nan
1478732273,うぽつです！,nan,nan
1478735861,すき…,nan,nan
1478735943,ここすき,nan,nan
1478735993,しなのんかわいかった,nan,nan
1478736631,かっこいい,nan,nan
1478744381,大将組待ってました！うぽつです！,nan,nan
1478745670,8888888888888888888888888,nan,nan
1478748289,ここ猛烈にエッチ杉内,nan,nan
1478748416,ここの厚何事！,nan,nan
1478750178,厚の色気な,nan,nan
1478750224,厚くんの黒ハイソはやばい,nan,nan
1478754464,この質感･･･ソリソリの方ですか！？,nan,nan
1478755295,lalalalala lalalalala,nan,nan
1478755313,lalalalala lalalalala･･･,nan,nan
1478755379,世界はあっという間にピンク,nan,nan
1478755390,ど真ん中　妖しい花　パッと咲きました,nan,nan
1478755400,眼光　ギラギラ　時にウインク,nan,nan
1478755410,君の首筋から全部捕らえてる,nan,nan
1478755426,罪な笑顔　見せるタイミング,nan,nan
1478755447,計画性 i'm on my way in,nan,nan
1478755465,同じ fuckin' class,nan,nan
1478755504,この感触知らないショック,nan,nan
1478755513,気のせいでしょ？って爛まんショー,nan,nan
1478755524,気付いたラバ it's too late,nan,nan
1478755535,それは恋と言う名の暗示,nan,nan
1478755548,脳内荒し回る甘いビート,nan,nan
1478755568,oh let me 簡単さ,nan,nan
1478755577,get your luv i understand,nan,nan
1478755587,君に見せるこの美show,nan,nan
1478755605,"瞳を閉じて 3,2,1,催眠",nan,nan
1478755617,その症状　愛の細胞,nan,nan
1478755628,覚醒の味 let's start,nan,nan
1478755643,指先見つめて make me,nan,nan
1478755675,吐息漏れちゃう悦び,nan,nan
1478755694,"I will give you, come in!",nan,nan
1478755717,震える胸の中脈打つ,nan,nan
1478755735,塊 all i want,nan,nan
1478755743,疼いてんでしょ？ I know,nan,nan
1478755797,よそ見しないで look at me,nan,nan
1478755848,あっくん　かっこいいい！！,nan,nan
1478755851,口にしてみて,nan,nan
1478755872,勇敢に,nan,nan
1478755979,よそ見しないで　 look at me,nan,nan
1478755993,頻繁に burnin'! and going down,nan,nan
1478756015,永遠の向こうで shall we dance?,nan,nan
1478756040,それを恋と呼ぶのさ汝,nan,nan
1478756051,運命かき回す妖艶なスウィーツ,nan,nan
1478756061,oh give me,nan,nan
1478756069,単純な細胞が 生み出す your 乱,nan,nan
1478756078,感じる？　身体の異常,nan,nan
1478756104,今までにない想いの解放を要求,nan,nan
1478756120,全身に走った電気ショック it's so cool,nan,nan
1478756134,想像をもぶちぎっちゃうL危,nan,nan
1478756154,let me feel you and love you,nan,nan
1478756163,限界まで do me more,nan,nan
1478756187,気を抜いていたら大惨事,nan,nan
1478756254,とてつもない恋と言う愛のマジック,nan,nan
1478756265,本能弄んじゃう like a queen,nan,nan
1478756282,単純な細胞が生み出す your 乱,nan,nan
1478756290,向かい合わせ二人のSHOW,nan,nan
1478756307,二人きり君との勝負,nan,nan
1478756427,歌詞をつけさせて頂きました、お邪魔でしたらNG登録で構いません。,nan,nan
1478756463,ところどころお見苦しいところがあります、すいません；；,nan,nan
1478756992,歌詞をつけさせて頂きました。 お邪魔でしたらNG登録で構いません。,nan,nan
