content,type
自力でとか普通に倒せたとかいってる人わろす,2
まあ普通はアワーグラス20個集めないけどな,2
いや、ノーマルなら普通にいけない？,2
菅野ジャズ嫌いなのにね,2
手拍子が自分も他人も聴くことに邪魔になってることに気づいてくれ･･･頼むから･･･,2
ジャズきらいなくせにコレって,2
ミュージシャンにとって、ライブ中に素人に手拍子されると、本当に困る,2
これは、JAZZじゃない。劇中はJAZZ多いけど。,2
踊りじゃねーって、ゆとりはこれだから・・・,2
手拍子ごときにぐだぐだ言う奴はプロでは無いなｗ,2
手拍子されると嬉しいけど邪魔,2
どっちも原作知ってる必要あるからのびないんだろうな～,2
これはいいなｗｗ,2
最後は好き,2
黒コメはもうちょっとストーカーっぽい黒さの方が楽しいな。怖いけど愛がある、みたいな。,2
評価はされていると思うが 如何せんジェネレーションギャップが･･･,2
画質が低いのがちょっとつらい,2
元の歌詞がわかればもっと楽しめるかも,2
これは微妙だろ　どっちも好きだけど,2
大体命命っていうけどさ…そういう言い方も実質責任逃れなんだよな。只単に命があって何？無理やり生かされてて何？,2
生きてる証って何？心だろ？大事なのは心じゃないのか？否応無しの生き様だの根拠無いハッピーエンド像だのンな事で命が語れるか,2
今の開発費と3Dに偏ったゲームより断然いいよなぁ,2
FFの展開とほぼ同じじゃん,2
強くてﾆｭｰあるから全部見るの楽だろ,2
BGM無しで撮った後別の動画の音声と合成編集してるね、仲間既に全滅済み,2
まだイージーとか言ってるやつが居るのか,2
画質がな～,2
可愛いのはわかるが、結局何がどうなんだ？,2
確かにやよいっぽくない,2
おいおい、英語の歌詞ぐらいくちんと歌っるようになってからやれよ。ギター兄ちゃんはこれだからいかん。,2
これは美しい,2
映像より音楽のがすごいと思う,2
無理やり綺麗にまとめるなよ,2
この手の出で完結してるのは珍しい,2
いやー良くまとまってるよ,2
かっこいいのか！？？,2
・・・・・・・・あれ、要するにドラえもんたちのせい？,2
いちいち元ネタ教えてくれなくてもいいよ,2
いい画像ですね,2
俺死にたくなってきた･･･,2
みんなおかしいよ、俺は癒されるよ,2
なぜfullもこのテンポでいかなかったのか,2
すごく・・・最後に相応しいです,2
今やればもう少し流行ってたかもなあ・・・,2
俺はスゲー好きだったんだけど周りのやつはなんかダメだって言われたわ,2
俺も友達に同じこと言われたわ･･･,2
好きだったんだけどグダグダだったんだよなあ,2
ヘテロダインは自然災害扱いだしナァ　スパロボでとほしいけど出てほしくない二律反正,2
小学生のときは、良さがイマイチわからなかったな,2
OPだけだと普通に強そうなんだよな,2
このちょっとくどいキャラデザが好き,2
最弱で最高のスーパーロボットやんけ！,2
装甲値200というボスボロットよりも薄い装甲,2
日本にまだ夢と希望があった時代だな・・,2
この作品だけはうすたに通ずるものがあるな・・・,2
聖杯取ったら良いのにｗ,2
あら勿体無い,2
主頑張ろうよ…,2
コメントした人恥ずかしいだろうなぁｗ,2
人に聞くばっかりで、自分で調べる努力をしない奴は解らんだろうな,2
嫉妬コメ乙,2
歌うまいんだからマイク買って編集してあげたほうがいい,2
やってても儀礼的なことだけだろうなぁｗ,2
まぁ・・・ねぇ,2
あたりまえだろｗｗｗｗ,2
普通に自動車化歩兵でいいだろｗｗｗ,2
そう言ってると後からうるさくなるぞ,2
当り前である,2
情報はないんだなこれが,2
当たり前だw,2
ですよねｗ,2
そりゃそうだろｗｗｗ,2
おまえのせいだろｗｗｗｗ,2
どうがんばっても死ぬ,2
やると思ったw,2
折られてなくても負けだったとお思うけどなｗ,2
誰もこないｗｗｗｗｗｗｗｗｗｗｗｗｗ,2
おせえよｗｗｗｗｗｗ,2
防衛やる気なさすぎｗ,2
もっと前にでていいんじゃね,2
声はいいよ、音程がんばれ,2
時間稼ぎするんだぞ？,2
気を引き締めていけよーw,2
オタク特有の腐ってる性格恥ずかしくないの？(嘲笑),2
見てませんよ～ｗｗ,2
スクゴリ使ってんの初めて見たwwww,2
サビが残念かな,2
嫌われてんじゃね？,2
やる気だしすぎｗｗｗ,2
焦りすぎやw,2
これはわざとか？,2
せっかく殺し間使うんだから、鉄砲にもう少しコスト割いたら？,2
そんな装備で大丈夫か？,2
罵倒する言葉が中学生wwwwww,2
お前は小学生だけどなwwwwww,2
すぐ怒るのは精神が弱すぎだ,2
どうせ溢れる,2
まぁ逃げられないよな,2
クソワロタ(真顔),2
まだ続けてらしたのですね,2
さすがチンパン,2
主は気付いたら一人になってる事多いね,2
主さんよくテンション保つなぁ,2
やめろとかw何様だよww,2
さっきのでもわかったけどね,2
それが問題だろ自覚ないのか,2
それ言うから伸びんのだよ,2
まぁ普通そう思うよねｗ,2
提督は帰って、どうぞ,2
まぁだいたいあってるよ,2
ビビりすぎw,2
どっか見どころあったか？,2
こういう動画を携帯で聞く人いないでしょ,2
見事な蹲踞ｗ,2
作れないのでなく作りませんか・・・,2
ワンフェスでは人気者だったダヨちゃん。,2
まー飛べてるだけまだいいよ,2
さすがにもうちょいエイム力上げようか,2
初心者に防衛側はキツイな,2
君の視界はどうなってるの？,2
これ恥ずかしくないの？,2
酔っ払いかな？,2
声が合ってないという不思議w,2
早送りなのに運転荒いとかわかるのか,2
盗賊ギルドを裏切った奴は英雄ですね解りますｗ,2
ごめーーんわざとなの,2
やらされてる法曹ほどつまらんものはないな,2
誰でもわかるｗ,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
なにやってんだあいつら・・,2
ちょっと薬物キメ過ぎなんとちゃう？,2
初代の方が全然面白い,2
聞こえん,2
練習動画かな？,2
