,content,type,word
0,なにやってんだあいつら・・,2,-1.0
1,ちょっと薬物キメ過ぎなんとちゃう？,2,-1.0
2,初代の方が全然面白い,2,-1.0
3,聞こえん,2,-1.0
4,練習動画かな？,2,-1.0
5,←ホームレスみたいなのがオシャレ(笑),2,-1.0
6,このアホ視点は叩かないで他のいい感じの視点にはでっかい口で叩くんだなくそ脳内元帥どもは,2,-1.0
7,図書館に書籍寄付してもお礼もなかったですしね。,2,-1.0
8,夢の無い台や,2,-1.0
9,相手の手札見ながらは流石になぁ…,2,-1.0
10,糞真面目な人間が損する…夜神総一郎かな？,2,-1.0
11,こいつ大丈夫か？って思ってきました,2,-1.0
12,俺上手いアピールしてるガキは何なの？動画上げろよ,2,-1.0
13,名前の分別ついてなさすぎやない？大丈夫？,2,-1.0
14,当時幼稚園児には難しすぎた,2,-1.0
15,wikiの寄生虫のくせになにいってだ,2,-1.0
16,テンプレ行動しかしねえな,2,-1.0
17,意外とおもろいで,2,-1.0
18,音もひどいしプレイも酷い良いのは声だけ,2,-1.0
19,小学生レベル,2,-1.0
20,カマキリが編集してるんやろ,2,-1.0
21,なにやってんだあいつら…,2,-1.0
22,岸本が影響受けた大友とかメビウスとかの方をまず見てから判断した方が良いと思うんだよな,2,-1.0
23,だめだこいつ（確信),2,-1.0
24,戦闘民族だからね、仕方ないね,2,-1.0
25,考察になると何のコメントも出来なくなる未プレイ勢好き,2,-1.0
26,こいつやばいな,2,-1.0
27,こんなん完全にチャテロ,2,-1.0
28,普通の人からしたらいい人達よね,2,-1.0
29,精神崩壊かな？,2,-1.0
30,多分動画としてあまり意識してないんだろな,2,-1.0
31,ほかのプレイヤーに迷惑をかける形でのルーニープレイとはどういうものかっていう好例　ムカつくとこも含めて,2,-1.0
32,さよなら国産,2,-1.0
33,バケゆかはどうせちょっと（数百時間）練習しただけだろ,2,-1.0
34,ANさぁはいろいろ裏で手を回してそう,2,-1.0
35,ネオン輝く方かな？,2,-1.0
36,初見実況に上手いだの下手だのってコメ恥ずかしくないの？,2,-1.0
37,元気のいいお子さんでいらっしゃいますね,2,-1.0
38,いっつも行動を要求されるのは操作キャラ,2,-1.0
39,思い出にしがみつく…お嬢の言葉かな？,2,-1.0
40,微妙なピンク色だなぁ,2,-1.0
41,こいつ作る努力をわかった気になってるだけのサルゥなんだよなぁ,2,-1.0
42,風景画だな。キャラがいる意味がない,2,-1.0
43,遅くてもいいじゃない人間だものー,2,-1.0
44,みゆきちゃん天然かな？,2,-1.0
45,模倣かな？,2,-1.0
46,なんやこの構図の連続......,2,-1.0
47,関西人はタダに弱いからね,2,-1.0
48,ほんと継続だけは強い,2,-1.0
49,その「格安sim」のラスト1マイルインフラはどこが持ってるんだ?ということを考えて言おうね。,2,-1.0
50,精神崩壊かな？,2,-1.0
51,お前がヤれるわけない　愛想笑いで終了,2,-1.0
52,流石に編集雑だわ,2,-1.0
53,ドニーのくせにサモみたいな見た目してんなお前な,2,-1.0
54,単発動画かな？,2,-1.0
55,プラクティスかな？,2,-1.0
56,学校の先生ってすごい,2,-1.0
57,錬金釜「このデブ何なんだよ邪魔くせえな」,2,-1.0
58,動画撮ることにも素人なんだろ察したれ,2,-1.0
