content,mophologics_num,bad_per_mophologic,simple_bad_flg,target,hiniku_per_mophologic,simple_hiniku_flg,positive_per_mophologic,simple_positive_flg
ガイジ,1,1,1,1,0,0,0,0
くどい,1,1,1,1,0,0,0,0
偽物　ただの釣り動画,6,2,1,1,0,0,0,0
振り付けダサイ,2,0,1,1,0,0,0,0
男きも,3,0,1,1,0,0,0,0
糞みたいな店員だな,6,1,1,1,0,1,0,0
死ね,1,1,1,1,0,0,0,0
人間のクズが,4,1,1,1,0,0,0,0
もものこえきもい,6,0,1,1,0,0,0,0
いい加減にしろｋｓがｗ,7,0,1,1,0,0,1,1
初代エウレカとかごみだろあほ,7,1,1,1,1,1,0,0
センスないわ,3,0,1,1,1,1,0,0
見えないから無意味ゴミ動画,6,1,1,1,1,1,0,0
なんだこいつ,3,1,1,1,0,0,0,0
鼻クソでキープしろ,5,1,1,1,0,0,0,0
スロ動画で今まで見てきた養分群でぶっちぎり一番最低の光景やでコレ,21,1,1,1,0,0,0,0
バカだろ,2,1,1,1,1,1,0,0
ハゲやん,2,1,1,1,0,0,0,0
30として弱いってだけで20と並べるとかアホか,12,2,1,1,2,1,0,0
やり返しってか？醜いね。,6,1,1,1,0,1,0,0
この人魚ポンコツすぎんぞ,6,1,1,1,0,0,0,0
燃えｋｓすこ、こびドルひで,8,1,1,1,0,0,0,0
これは腹立つ,3,1,1,1,0,0,0,0
たひね,2,0,1,1,0,0,0,0
引くこと覚えろカス（AHGN）,7,1,1,1,0,0,0,0
ゴミだよ,3,1,1,1,0,0,0,0
おっそ,2,0,1,1,0,0,0,0
ファンうるっさ！！！,7,0,1,1,0,0,1,1
つまんねー台だなー,6,0,1,1,0,1,0,0
編集ゴミなんだけど,6,1,1,1,1,1,0,0
ホント編集ｋｓ,4,0,0,1,0,0,0,0
店酷すぎやろが,5,0,1,1,0,0,0,0
これは互いにDQNだなぁ,6,1,1,1,0,1,0,0
惰性で見てるけど、この番組全然おもしろくないよな,13,0,1,1,2,1,0,1
コイン持ち悪いし当たっても出ないし糞台だなｗ,15,1,1,1,1,1,0,0
態度わりーな女,5,0,1,1,0,0,0,0
ヤローぶっ殺してやらー,5,0,1,1,0,0,0,0
こういうとこの求人って馬鹿でも募集してるからしゃーない,15,1,1,1,2,1,0,0
この台キモいな,5,1,1,1,0,0,0,0
パチンカスが常識人ぶるなよ,7,0,1,1,0,0,0,0
店員最低,2,1,1,1,0,0,0,0
なんもおもしろくない,4,0,1,1,1,1,0,1
ぶっさいなー野中,4,0,1,1,0,0,0,0
産業スパイ,2,0,1,1,0,0,0,0
面白くない上に編集技術のない奴が作った動画,13,0,1,1,2,1,0,0
ナイヲのパワハラと無能さが際立ってきた,12,1,1,1,0,1,0,0
なにいってんだこいつ,4,1,1,1,0,1,0,0
ないおみたけどブサメンやからなww 顔だせんくらい,14,0,1,1,2,1,0,0
ファンの奴うるせ～～ ww　とか最低www,12,1,1,1,0,0,1,1
サイコパス,1,1,1,1,0,0,0,0
これゴミだろ,3,1,1,1,1,1,0,0
ざこ,1,1,1,1,0,0,0,0
シスコン野郎!!!!!!,3,2,1,1,0,0,0,0
ゴミじゃねぇか,4,1,1,1,1,1,0,0
ほんまに、なんであんな終わってる台を導入するのかわからん,15,0,1,1,0,1,0,0
あーつまんね,4,0,1,1,0,0,0,0
きも,2,0,1,1,0,0,0,0
後ろから適当に撃ってるだけのクソｗｗｗｗｗｗｗ,10,1,1,1,1,1,0,0
ド田舎すぎるな,4,0,1,1,1,1,0,0
ないおがキモいからやろ,6,1,1,1,1,1,0,0
糞軍団晒せよ,4,1,1,1,0,0,0,0
あのゴミ達を何に使うのだろうか,11,1,1,1,1,1,0,0
糞店,2,1,1,1,0,0,0,0
ＴＴの日本語ダサい,5,0,1,1,0,0,0,0
ks,1,1,1,1,0,0,0,0
なんだこのクソ編集は,6,1,1,1,0,0,0,0
くさそう,2,0,1,1,0,0,0,0
おいてくれって言ったなら店がゴミだな,12,1,1,1,1,1,0,0
糞台ってより店しだいかなあ　マド２,11,1,1,1,1,1,0,0
世論調査はマスゴミの情報操作,8,1,1,1,0,0,0,0
価値低そうな女だったし,8,0,1,1,0,0,0,0
池沼は一つの物事に異常なほど執着し続けるからね　しょうがないね,18,1,1,1,1,1,0,0
ゴリラ映ったぞ,4,1,1,1,0,0,0,0
何で当たったかわかんないから面白くない,9,0,1,1,2,1,0,0
これはロリコンですわ,5,1,1,1,0,0,0,0
ふつうにクソ台やろ,5,1,1,1,0,0,0,0
あーころす,2,1,1,1,0,0,0,0
振りだっせえ・・・,6,1,1,1,0,0,0,0
ファンうるさい！！ww,5,1,1,1,0,0,1,1
サイコパス気質なんだろ,5,1,1,1,1,1,0,0
前でるとかアホかな？,7,1,1,1,0,1,0,0
サイコパスじゃねーかｗｗｗｗ,5,1,1,1,1,1,0,0
キチゲエが,2,0,1,1,0,0,0,0
テスト期間中にこれ書いてるだけで十分バカなんだよなぁ,16,1,1,1,1,1,0,0
女の方が舐めとるやろ,7,0,1,1,0,1,0,0
下手糞な編集すんなや・・・,9,1,1,1,0,0,0,0
この魚ポンコツやな,5,1,1,1,0,0,0,0
北斗に比べて低設定の誤爆がないからボッタ地域じゃゴミカス評価だな,19,2,1,1,2,1,0,0
『カメラ下手かw』っていった人、そんな上から言えるってことは、カメラマンさん？笑　めっちゃガキ…笑,28,2,1,1,2,1,0,0
黒く塗りつぶした方が見栄えが良くなるところまで描いちゃってるから上手くはない,18,0,1,1,1,1,0,0
見るだけ無駄な時間だった,7,1,1,1,1,1,0,0
レインコート兄貴いい加減にしろ!,7,0,1,1,0,0,1,1
ファンの奴うるせ～～  ww,8,0,1,1,0,0,1,1
なにこのごみ,3,1,1,1,0,0,0,0
超絶ｋｓ店だこれわ,6,0,0,1,0,0,0,0
ごっみ,3,0,1,1,0,0,0,0
グッピー普通に下手くそだからな,7,1,1,1,0,0,1,1
←「じゃあお前がやれ」って擁護は馬鹿すぎるからやめてくれ,16,1,1,1,2,1,0,0
オワコン,1,1,1,1,0,0,0,0
なら自分で描いてネットに載せろ9ず,10,0,1,1,0,0,0,0
ホモはせっかち,3,1,1,1,0,0,0,0
雑魚視点,2,1,1,1,0,0,0,0
有名なクソ店,4,1,1,1,0,0,1,1
お、ホモカップルか？,6,1,1,1,0,0,0,0
着地取る気もなく射撃垂れ流してただけのゴミだったな,16,1,1,1,1,1,0,0
ヤリマンもんじゃ店,4,0,1,1,0,1,0,0
結果書くなアホ,4,1,1,1,0,0,0,0
誰かゴミ広いしてやれや,6,1,1,1,0,0,0,0
弱すぎ,2,0,1,1,0,0,0,0
雑,1,1,1,1,0,0,0,0
謎あたりってなんだよ・・・単独だろうがゴミ,14,1,1,1,1,1,0,0
釣りは死ね,3,2,1,1,0,0,0,0
これあほほどくるよな,7,0,1,1,0,0,0,0
↑少女時代バカにすんな。,8,1,1,1,0,0,0,0
よわすぎ,2,1,1,1,0,0,0,0
チキンども,2,1,1,1,0,0,0,0
雑い,2,1,1,1,0,0,0,0
カッコいい馬鹿,3,1,1,1,0,0,1,1
ヲタ怖すぎwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww,4,1,1,1,0,0,0,0
頭おかしいな,3,0,1,1,0,0,0,0
まあ糞台だけどなｗ,7,1,1,1,1,1,0,0
掛け声ださ,3,0,1,1,0,0,0,0
さっさと動画説明文のうんこちゃんを消せ,9,2,1,1,0,0,0,0
無資格でしょ,3,0,1,1,0,0,0,0
変態ロリコン（勘違い）レズ野獣部長ぼろくそ言われてて草萌ゆる（古文）,20,2,1,1,0,0,0,0
ユニバの台なんて全部ゴミだろ,7,1,1,1,2,1,0,0
なんでこんなクソ編集なん,5,1,1,1,0,0,0,0
あほ,2,0,1,1,0,0,0,0
さやカスｗｗ,4,1,1,1,0,0,0,0
掛け声うるさい！,3,1,1,1,0,0,0,0
やる気ないな、このもんじゃ女,8,0,1,1,2,1,0,0
あの「タイミングで座ったからでたんだろうがゴミが,15,1,1,1,1,1,0,0
トリ頭だから言ってんだろ,8,0,1,1,1,1,0,0
北斗はつまんねーし出ねえし,8,0,1,1,0,0,0,0
ゲームやめろ,2,1,1,1,0,0,0,0
画質わるくね,3,0,1,1,0,0,0,0
禿バンク,2,1,1,1,0,0,0,0
最低,1,1,1,1,0,0,0,0
chappyうざいしな。。,5,0,1,1,0,0,0,0
にどみつまんなくなたったな,8,0,1,1,0,0,0,0
かまってちゃんだなぁ,5,0,1,1,0,1,0,0
無駄金,2,1,1,1,0,0,0,0
タマなし野郎が勝てないのは当然,9,1,1,1,1,1,0,0
コジマ頭悪そう,4,0,1,1,0,0,0,0
低レベルな店やなー,6,0,1,1,1,1,0,0
馬鹿馬鹿しい,1,0,1,1,0,0,0,0
ちかいてうるさい。,4,1,1,1,0,0,0,0
応援してる人の声キモい,8,1,1,1,0,1,1,1
仕事なめてる？,4,0,1,1,0,0,0,0
↑ダサいのはわかる↑,6,0,1,1,0,0,0,0
メンヘラ,1,1,1,1,0,0,0,0
ぶっさ,2,0,1,1,0,0,0,0
分かるかボケ,3,1,1,1,0,0,0,0
