,content,type,word
0,この発想は無かった,0,-1
1,なにこれ綺麗,0,-1
2,ナイス編集,0,-1
3,素晴らしい,0,-1
4,ここすき,0,-1
5,名曲だね,0,-1
6,これ名シーンだよな,0,-1
7,行く手間が省けた,0,-1
8,この開発者ほんとうに殺してえｗｗｗｗ,0,-1
9,おいしそうだな,0,-1
10,よく出来てるなあ,0,-1
11,え、普通にうまいやんｗ,0,-1
12,最後面白いよ,0,-1
13,買って損は無い,0,-1
14,コメント、初め！！,0,-1
15,新コメントはまだかな,0,-1
16,皆うまい,0,-1
17,もっと評価されていいはず,0,-1
18,あまりお勧めできない,0,-1
19,いつも参考にしています,0,-1
20,ありがとうございましたー,0,-1
21,参考になります　おつです,0,-1
22,勉強させてもらいます,0,-1
23,調べりゃすぐに分かる事だけど、実際失敗して覚えるのも悪くないと思う,0,-1
24,良いね、合ってる！,0,-1
25,選曲いいね！,0,-1
26,不安定なのは仕方ないだろプロじゃないんだから。,0,-1
27,私もこういう声だったらなぁ,0,-1
28,これ絶対美味しいよw,0,-1
29,たまにこのパターン仕掛けてくれないかな,0,-1
30,ほうほう,0,-1
31,心地いいな,0,-1
32,よいねぇ,0,-1
33,めっちゃいい・・・,0,-1
34,やさしいうただなあ,0,-1
35,あたたかいなあ,0,-1
36,うぽつー,0,-1
37,ドヤ顔ｗｗｗｗ,0,-1
38,おおっイケメン,0,-1
39,すごいなぁ,0,-1
40,なんかすごい！,0,-1
41,修正しました,0,-1
42,歌詞の文字細目が良いかも,0,-1
43,びっくりしたわｗ,0,-1
44,画像かわいい,0,-1
45,おめでとおおおお,0,-1
46,コメが消えたw,0,-1
47,みとれたんよ,0,-1
48,いってやるなｗｗ,0,-1
49,うぽつです,0,-1
50,色んなテーマがきちゃったな,0,-1
51,すっかり有名人だなｗ,0,-1
52,なんでエアコン切れてるの？,0,-1
53,ちゃんと生命保険かけてるんやな,0,-1
54,母親なんてこんなもんだよな,0,-1
55,そう言う事かぁ,0,-1
56,すげー,0,-1
57,ものすげぇｗ,0,-1
58,大きくなったなー,0,-1
59,今の当てるとかやべぇｗ,0,-1
60,謎の急展開ｗ,0,-1
61,お疲れ様です！,0,-1
62,かつらじゃねーよｗ,0,-1
63,面白いよ,0,-1
64,マジですかｗｗｗ,0,-1
65,ええんやで,0,-1
66,表情いいなぁ・・,0,-1
67,ステージからしてかっこいい,0,-1
68,すごく面白かった,0,-1
69,規則だからね,0,-1
70,きめ台詞,0,-1
71,すげーいい人だねw,0,-1
72,焼肉だと・・・,0,-1
73,いつごろの映像じゃ,0,-1
74,へんゅうｗｗｗ,0,-1
75,すげぇ,0,-1
76,ブロックが反射してるの綺麗だな,0,-1
77,やっぱりお前かww,0,-1
78,おおおおおおおお,0,-1
79,原作知らんけどこれは凄い,0,-1
80,美しい・・・！,0,-1
81,これは伸びる,0,-1
82,このへんがヤバイ,0,-1
83,もうこれオリジナルこえたよ・・・,0,-1
84,酔ってきた,0,-1
85,動きやめろｗｗｗ,0,-1
86,素直に感心するわ・・・,0,-1
87,なんかいるw,0,-1
88,ぱねえＷＷＷＷＷＷＷＷ,0,-1
89,確かに新築っぽいなw,0,-1
90,光沢すごい,0,-1
91,モーションなめらか,0,-1
92,表情細かくていいなぁ,0,-1
93,なんか外国っぽい,0,-1
94,お洒落だなぁ……！,0,-1
95,きれいな声ｗ,0,-1
96,めちゃ好き,0,-1
97,かっこいい！,0,-1
98,ぬるぬる動くよ,0,-1
99,何これすごい！,0,-1
100,地味に怖い,0,-1
101,こいつとか言うなｗ,0,-1
102,サムネｗｗｗ,0,-1
103,ちょい声小さい,0,-1
104,ノリが軽い,0,-1
105,シンクロがやばい！,0,-1
106,感動しました！！,0,-1
107,コレは伸びろ！！,0,-1
108,心が踊る！,0,-1
109,毎回思ってたww,0,-1
110,そういうオチかw,0,-1
111,これはきついw,0,-1
112,しょ、しょうがない,0,-1
113,たどり着いてしまったｗ,0,-1
114,まさかのｗｗｗ,0,-1
115,むむむ・・・,0,-1
116,マジかよ・・・,0,-1
117,よろしくおねがいします,0,-1
118,おつですー,0,-1
119,決まったのかｗｗｗ,0,-1
120,これは面白そうな対戦,0,-1
121,たまんねえ,0,-1
122,楽しみにしてますんで、頑張って！,0,-1
123,実況しないの？,0,-1
124,こけっこー,0,-1
125,この曲いいよなあ,0,-1
126,好きだわー,0,-1
127,どういうこと？,0,-1
128,なんか暗い,0,-1
129,そんなのわかるかよ～,0,-1
130,逆走できるんだw,0,-1
131,ハイリスクでの勝利は嬉しいねぇ,0,-1
132,最高の映画だったぜ！,0,-1
133,なぜ伸びないんだ・・・！！,0,-1
134,見た目がかわいい,0,-1
135,なぜやろうとした,0,-1
136,みんな寝てるw,0,-1
137,せ、先生…,0,-1
138,最強か,0,-1
139,フェイント,0,-1
140,言い方w,0,-1
141,馬鹿でかい,0,-1
142,神曲じゃねーか,0,-1
143,プリズム面白かったわ,0,-1
144,神だあ,0,-1
145,歌がシリアス,0,-1
146,意味が深いｗｗｗ,0,-1
147,上手いな。,0,-1
148,もっと評価されてもいいと思う,0,-1
149,これは嬉しい,0,-1
150,結構面白そうなんだがｗ,0,-1
151,シュールだなぁw,0,-1
152,新感覚すぎるwwwww,0,-1
153,お疲れ様でした,0,-1
154,かわええええ,0,-1
155,キャラはまりすぎｗｗｗ,0,-1
156,ほんとにやってそうｗｗ,0,-1
157,あなた様の絵大好きです,0,-1
158,よいしょおおお,0,-1
159,草しか生えない,0,-1
160,いやがらせｗ,0,-1
161,黒いｗｗｗ,0,-1
162,いつも食ってんだろｗ,0,-1
163,ｗｗｗｗｗ,0,-1
164,ここゾクッとする,0,-1
165,好きな雰囲気です,0,-1
166,元気だなぁw,0,-1
167,強いな,0,-1
168,今度も飛行機は作ってもらう,0,-1
169,抱き枕なんとかしろｗ,0,-1
170,新キャラはいないのね,0,-1
171,余裕だね～,0,-1
172,うごけないてき,0,-1
173,あぶねええ,0,-1
174,ひどすぎるｗｗｗ,0,-1
175,カンペｗｗｗ,0,-1
176,この機能便利ですよね！,0,-1
177,食べました！！！,0,-1
178,いいくるまですよね！,0,-1
179,いいんですよね！,0,-1
180,楽しそうでいいですね！,0,-1
181,いい話聞けてうれしいですよ！,0,-1
182,また次楽しみにしてます！！,0,-1
183,厳つい顔してるなぁｗ,0,-1
184,まさにスーパーカーでしたね,0,-1
185,かっこいい･･･。,0,-1
186,角が気になって仕方ない,0,-1
187,みつめる,0,-1
188,ジャケットも好き,0,-1
189,不思議な感じの曲,0,-1
190,うれてるな～,0,-1
191,服が気になって仕方ない,0,-1
192,ルパンっぽい,0,-1
193,お疲れさまでした～,0,-1
194,当たり,0,-1
195,相変わらずすばらしい高音,0,-1
196,本当、良い声大好き！！,0,-1
197,お、衣装変わった,0,-1
198,絵がへただ,0,-1
199,うまそうｗｗｗｗｗ,0,-1
200,ワカメｗｗ,0,-1
201,うまそおおおおお,0,-1
202,朝からハンバーグ,0,-1
203,花札のBGM,0,-1
204,前よりキレがある,0,-1
205,うぽつ,0,-1
206,やばい，萌える,0,-1
207,笑顔が素敵ー！,0,-1
208,かわいい,0,-1
209,またおてつだいｗｗｗ,0,-1
210,さすがレンジャー,0,-1
211,お腹出してるからね,0,-1
212,だなｗ,0,-1
213,人参みたいだな,0,-1
214,対応が大人やなｗ,0,-1
215,バランス乙,0,-1
216,おてつだいかｗ,0,-1
217,聞こえなーい聞こえなーい,0,-1
218,しびれるキック！,0,-1
219,あ、こんばんは！,0,-1
220,よく遊んでね,0,-1
221,4個だよ,0,-1
222,おｋ,0,-1
223,おおお,0,-1
224,でかいｗ,0,-1
225,素晴らしい,0,-1
226,今のはどうなの？,0,-1
227,すごいがんばったなｗ,0,-1
228,体かたいのか,0,-1
229,可愛いｗｗｗｗ,0,-1
230,まってました！,0,-1
231,おつかれさまー,0,-1
232,なにこれかっこいい,0,-1
233,さすが師匠やでえ,0,-1
234,やめて,0,-1
235,真ん中うま,0,-1
236,女の人かわい,0,-1
237,うまいなこいつら,0,-1
238,まさかな,0,-1
239,こりゃあかん,0,-1
240,これは泣ける,0,-1
241,乙でした,0,-1
242,桜だー,0,-1
243,おおおお,0,-1
244,バトル見せてよー,0,-1
245,でかした,0,-1
246,絵は慣れる,0,-1
0,マジレスすると、長時間の「人」の並びが禁止されている地域がある,0,-1
1,久々に演奏してみたですごいと思った,0,-1
2,ヨーカドーくっそwwwww,0,-1
3,一言もしゃべらない伽羅ちゃんwww,0,-1
4,主コメそれなw,0,-1
5,プレゼント(ソフィア)と寝る(意味深),0,-1
6,ルー↑,0,-1
7,いい表情なさる,0,-1
8,本物ボーナスが別抽選のわけねーだろ,0,-1
9,動きでわかる,0,-1
10,放火魔持ちは心情安定でもたまに派手にやるんじゃなかったか？,0,-1
11,カリがでかい,0,-1
12,クロが頭良いwww,0,-1
13,どうしてそんなもんがｗｗｗ,0,-1
14,向こうから近づいてくる分にはやれる,0,-1
15,かまたま？,0,-1
16,ウォーカーに気をとられてるんやろ,0,-1
17,リヒたんまじ天使ッスね！！,0,-1
18,し、しんどい,0,-1
19,馴れ合わなからちゃん,0,-1
20,せんせーww,0,-1
21,ＥＤでまだ結婚させようとしてるトロデにも問題ある,0,-1
22,5位をめざす♯☆♪□※ｗｗｗ,0,-1
23,それはない・・・・,0,-1
24,信之助～,0,-1
25,上手かったのに残念だ・・・,0,-1
26,今回MVどれも凝ってるね,0,-1
27,粒ｗｗｗ,0,-1
28,踏まれて目ぇ覚ましたんやな,0,-1
29,って言うか、居たなんて、本当に、強烈だっ！、,0,-1
30,携帯（通話のみ）だなｗ　教養１が,0,-1
31,そうだとしても、か　殺す気は無さそうだな,0,-1
32,マジうれしかったんだな,0,-1
33,大都の直営店で10がイベ日,0,-1
34,うん、これは、,0,-1
35,結局出たら楽しいっていうタイプの人間だしなやるお,0,-1
36,わ,0,-1
37,パスゼロ思い出した,0,-1
38,改型をカイ少佐に渡しちゃうと、イルムは弐式になりがちな気がする,0,-1
39,うっかりだけどやる夫指揮能力有能ってみえていいなｗ,0,-1
40,なんですか、これw,0,-1
41,食べなれたネタを思いだそう。,0,-1
42,すでに笑えてくる,0,-1
43,逃げんなw,0,-1
44,あ・・・（察し,0,-1
45,まず疑われることでもない,0,-1
46,そして結び,0,-1
47,終わりだよー^ ^,0,-1
48,都市迷彩にしろよｗ,0,-1
49,特大とは,0,-1
50,馬鹿野郎！なんでこんなこと書いた！,0,-1
51,この人ほんとうまいからもっと評価されてくれ,0,-1
52,家に来なくなるのが先じゃない？,0,-1
53,普通フェアリー攻撃からのシンシア進化だよなあ,0,-1
54,さすが！！！,0,-1
55,設定なさそう,0,-1
56,近代でも普通選挙が広がるにつれて、宗教系政党が隠然とした力を保持した。一人一票の弊害かねえ。,0,-1
57,ここだれ？,0,-1
58,ええこや,0,-1
59,( ﾟ∀ﾟ):∵ｸﾞﾊｯ!!,0,-1
60,融合の方は、自身の効果で直接攻撃できないぞ,0,-1
61,術も全部資質あるんだよな,0,-1
62,この解説のように日本は代り映えしないけど米国は凋落してるという勘違いが日本のデフレの原因かもしれない,0,-1
63,この表現すこ,0,-1
64,はいここ笑うところですよー,0,-1
65,、,0,-1
66,鼻から忠誠心が・・・,0,-1
67,これジオンのが確立当たりやすく設定されてないか？ｗ,0,-1
68,二号機さっきからなんもしてねーじゃんかｗ,0,-1
69,LV1頭部のジョイント部分が肩バルカン砲かセンサーみたいに見えるなあ,0,-1
70,ﾊﾔｵｸﾘすき,0,-1
71,おばあちゃんみたい,0,-1
72,分断されちまったか。面倒だな,0,-1
73,狛枝ぁぁぁあああ！！！！,0,-1
74,また新人さんか！？,0,-1
75,腐ってる奴は腐ってる某所みるのがいいよ,0,-1
76,いいところ大丈夫,0,-1
77,ふーむ,0,-1
78,クレムにはリーがインストールされてるからな,0,-1
79,なんかイメージ変わったわwww,0,-1
80,もずく,0,-1
81,今後の台と考えたらね,0,-1
82,なんか漏れたかなー　これは惜しい,0,-1
83,今日参加者強者多いな,0,-1
84,久しぶりにほらね？見たわ,0,-1
85,まだ復活かるんだけどな,0,-1
86,裏「One and Only」みないなMV,0,-1
87,抱きつくのも見てみたかったw,0,-1
88,ヘッドショット率高いなー…ナイフも相まってノーダメでも行けるんちゃうか,0,-1
89,こいつらいつも一緒に寝てんな,0,-1
90,エアガンぶっぱなすのは,0,-1
91,あ…((察し,0,-1
92,音声も左右ふってるのか,0,-1
93,確定って言えないんだよ・・外れないよな？,0,-1
94,　手厚いサポート＝月額料金に上乗せされてるのがメガキャリア,0,-1
95,消えたら回復するだけだしな,0,-1
96,たしかになあ,0,-1
97,一緒にやってみたいなｗ,0,-1
98,俺も洋館行って瀕死になってくる,0,-1
99,いや前髪あるとね…だったかな。たぶん,0,-1
100,ひっでえな,0,-1
101,気分は high high high,0,-1
102,謎の感動,0,-1
103,総務省じゃなく、キャリアがおかしいだけだろこれ,0,-1
104,毒状態になってるからですよ。,0,-1
105,強くなければ生きられない、優しくなければ生きている価値がない,0,-1
106,絶対結婚するぅぅ,0,-1
107,バナ山さんすごいもんね…,0,-1
108,プレーシャー縛りかな？,0,-1
109,くそおもろい,0,-1
110,カカッ♪,0,-1
111,今作PC版も人いっぱいいて良いよな,0,-1
112,完成版だね,0,-1
113,なにこのイケメンマジ天使,0,-1
114,それと電卓,0,-1
115,さすがうたづきさんハラハラ楽しませてもらいました,0,-1
116,とてもチモシーの人とは思えない,0,-1
117,きちぃ,0,-1
118,つすくる,0,-1
119,かわいいよ,0,-1
120,教養のあるゴリラやな,0,-1
121,生田いいじゃん,0,-1
122,これはマイリスww,0,-1
123,ステゴーっす,0,-1
124,それこそドリキンの86レベルやな,0,-1
125,watch dogsかな？,0,-1
126,ひっでー店,0,-1
127,ソフィアのせいで寝込んだみたいに見える,0,-1
128,でも以前の様にやたら怯み転倒しなくなったから凄く戦い易くなったね,0,-1
129,椅子になりたい,0,-1
130,歌い手俺得,0,-1
131,フラグか,0,-1
132,歌えそうwww,0,-1
133,スタッフに言えｗ,0,-1
134,べっこり字幕,0,-1
135,ハイレグはともかくセレブだと見抜くハーケンｗ,0,-1
136,クスリやってんのかって面だな,0,-1
137,二万以上負けから新基準は,0,-1
138,さすがとしか,0,-1
139,うたってるからだよw,0,-1
140,ゼノンきつそう,0,-1
141,痛い子の特等席先生の横ｗ,0,-1
142,バケゆか…,0,-1
143,(伽羅ちゃん、声だしてこーぜww),0,-1
144,うみごん似合ってない,0,-1
145,バイバインかな？,0,-1
146,すごいなここ,0,-1
147,アロセはガチムチ女子のイメージ,0,-1
148,最後やらかしたなーこれ,0,-1
149,強いね,0,-1
150,野中ぁぁぁぁぁぁ！,0,-1
151,♪～♭～♪～,0,-1
152,エーベックス感！ガンダム！,0,-1
153,緊張化,0,-1
154,どこで使い方を習った？→説明書を読んだのよ,0,-1
155,←超欲しいんだが,0,-1
156,‹‹\(´ω` )/››‹‹\( 　´)/››‹‹\( ´ω`)/››~♪,0,-1
157,また君か...壊れるなぁ...,0,-1
158,ナイスヘッショ！,0,-1
159,うｐしました,0,-1
160,これアドリブってすごいわｗｗ,0,-1
161,より負けるだろ,0,-1
162,おっふお,0,-1
163,何かあるたびにキレそう言ってて草,0,-1
164,ねねごん,0,-1
165,リメイクには残虐ENDあるんかなぁ？,0,-1
166,今度現れたら金たま縫い合わす,0,-1
167,「ねえ？Maybe Melty？」,0,-1
168,ゆんｗ,0,-1
169,くそわろたｗｗｗｗｗｗｗｗ,0,-1
170,さすがやな,0,-1
171,増えてるってかさっきから一瞬だけ反応してるぞ,0,-1
172,ん？なんだって,0,-1
173,もんじゃ？　ストⅤの話？,0,-1
174,覚醒吐かしたし勝確しょ,0,-1
175,甘デジはよ,0,-1
176,ＣＯ２減らすことは良いことだという先入観が危険なんだ,0,-1
