date,content,type,word
1246414135,自力でとか普通に倒せたとかいってる人わろす,2,nan
1258244341,まあ普通はアワーグラス20個集めないけどな,2,nan
1265631683,いや、ノーマルなら普通にいけない？,2,nan
1187508556,菅野ジャズ嫌いなのにね,2,nan
1200320841,手拍子が自分も他人も聴くことに邪魔になってることに気づいてくれ･･･頼むから･･･,2,nan
1201390924,ジャズきらいなくせにコレって,2,nan
1205063242,ミュージシャンにとって、ライブ中に素人に手拍子されると、本当に困る,2,nan
1205063354,これは、JAZZじゃない。劇中はJAZZ多いけど。,2,nan
1209674453,踊りじゃねーって、ゆとりはこれだから・・・,2,nan
1213984406,手拍子ごときにぐだぐだ言う奴はプロでは無いなｗ,2,nan
1501685754,手拍子されると嬉しいけど邪魔,2,nan
1200316834,どっちも原作知ってる必要あるからのびないんだろうな～,2,nan
1177229826,これはいいなｗｗ,2,nan
1174320442,最後は好き,2,nan
1186807609,黒コメはもうちょっとストーカーっぽい黒さの方が楽しいな。怖いけど愛がある、みたいな。,2,nan
1175523975,評価はされていると思うが 如何せんジェネレーションギャップが･･･,2,nan
1175083191,画質が低いのがちょっとつらい,2,nan
1175083251,元の歌詞がわかればもっと楽しめるかも,2,nan
1175376298,これは微妙だろ　どっちも好きだけど,2,nan
1180251600,大体命命っていうけどさ…そういう言い方も実質責任逃れなんだよな。只単に命があって何？無理やり生かされてて何？,2,nan
1180251853,生きてる証って何？心だろ？大事なのは心じゃないのか？否応無しの生き様だの根拠無いハッピーエンド像だのンな事で命が語れるか,2,nan
1193157440,今の開発費と3Dに偏ったゲームより断然いいよなぁ,2,nan
1213362988,FFの展開とほぼ同じじゃん,2,nan
1220827343,強くてﾆｭｰあるから全部見るの楽だろ,2,nan
1175531002,BGM無しで撮った後別の動画の音声と合成編集してるね、仲間既に全滅済み,2,nan
1176550952,まだイージーとか言ってるやつが居るのか,2,nan
1175520819,画質がな～,2,nan
1175521131,可愛いのはわかるが、結局何がどうなんだ？,2,nan
1234439334,確かにやよいっぽくない,2,nan
1222245149,おいおい、英語の歌詞ぐらいくちんと歌っるようになってからやれよ。ギター兄ちゃんはこれだからいかん。,2,nan
1181935795,これは美しい,2,nan
1185848415,映像より音楽のがすごいと思う,2,nan
1179485730,無理やり綺麗にまとめるなよ,2,nan
1181157781,この手の出で完結してるのは珍しい,2,nan
1184426970,いやー良くまとまってるよ,2,nan
1187480846,かっこいいのか！？？,2,nan
1210347826,・・・・・・・・あれ、要するにドラえもんたちのせい？,2,nan
1215100761,いちいち元ネタ教えてくれなくてもいいよ,2,nan
1176052445,いい画像ですね,2,nan
1178382447,俺死にたくなってきた･･･,2,nan
1198417666,みんなおかしいよ、俺は癒されるよ,2,nan
1193507687,なぜfullもこのテンポでいかなかったのか,2,nan
1196750331,すごく・・・最後に相応しいです,2,nan
1184154204,今やればもう少し流行ってたかもなあ・・・,2,nan
1184665710,俺はスゲー好きだったんだけど周りのやつはなんかダメだって言われたわ,2,nan
1189357804,俺も友達に同じこと言われたわ･･･,2,nan
1189534290,好きだったんだけどグダグダだったんだよなあ,2,nan
1191803530,ヘテロダインは自然災害扱いだしナァ　スパロボでとほしいけど出てほしくない二律反正,2,nan
1194339219,小学生のときは、良さがイマイチわからなかったな,2,nan
1282312750,OPだけだと普通に強そうなんだよな,2,nan
1332420135,このちょっとくどいキャラデザが好き,2,nan
1453886256,最弱で最高のスーパーロボットやんけ！,2,nan
1487407791,装甲値200というボスボロットよりも薄い装甲,2,nan
1176108410,日本にまだ夢と希望があった時代だな・・,2,nan
1181980931,この作品だけはうすたに通ずるものがあるな・・・,2,nan
