comment,type,,,,,,,,,,
この発想は無かった,0,,,,,,,,,,
なにこれ綺麗,0,,,,,,,,,,
ナイス編集,0,,,,,,,,,,
素晴らしい,0,,,,,,,,,,
ここすき,0,,,,,,,,,,
名曲だね,0,,,,,,,,,,
これ名シーンだよな,0,,,,,,,,,,
行く手間が省けた,0,,,,,,,,,,
この開発者ほんとうに殺してえｗｗｗｗ,0,,,,,,,,,,
おいしそうだな,0,,,,,,,,,,
よく出来てるなあ,0,,,,,,,,,,
え、普通にうまいやんｗ,0,,,,,,,,,,
最後面白いよ,0,,,,,,,,,,
買って損は無い,0,,,,,,,,,,
コメント、初め！！,0,,,,,,,,,,
新コメントはまだかな,0,,,,,,,,,,
皆うまい,0,,,,,,,,,,
もっと評価されていいはず,0,,,,,,,,,,
あまりお勧めできない,0,,,,,,,,,,
いつも参考にしています,0,,,,,,,,,,
ありがとうございましたー,0,,,,,,,,,,
参考になります　おつです,0,,,,,,,,,,
勉強させてもらいます,0,,,,,,,,,,
調べりゃすぐに分かる事だけど、実際失敗して覚えるのも悪くないと思う,0,,,,,,,,,,
良いね、合ってる！,0,,,,,,,,,,
選曲いいね！,0,,,,,,,,,,
不安定なのは仕方ないだろプロじゃないんだから。,0,,,,,,,,,,
私もこういう声だったらなぁ,0,,,,,,,,,,
これ絶対美味しいよw,0,,,,,,,,,,
たまにこのパターン仕掛けてくれないかな,0,,,,,,,,,,
ほうほう,0,,,,,,,,,,
心地いいな,0,,,,,,,,,,
よいねぇ,0,,,,,,,,,,
めっちゃいい・・・,0,,,,,,,,,,
やさしいうただなあ,0,,,,,,,,,,
あたたかいなあ,0,,,,,,,,,,
うぽつー,0,,,,,,,,,,
ドヤ顔ｗｗｗｗ,0,,,,,,,,,,
おおっイケメン,0,,,,,,,,,,
すごいなぁ,0,,,,,,,,,,
なんかすごい！,0,,,,,,,,,,
修正しました,0,,,,,,,,,,
歌詞の文字細目が良いかも,0,,,,,,,,,,
びっくりしたわｗ,0,,,,,,,,,,
画像かわいい,0,,,,,,,,,,
