       No,                                                      content,      type
1,かわええ,0
2,ほっぺぷにぷにしたい,0
3,なるほどね,0
4,うｐありがとうございます。,0
5,タナカちゃんは仕事できる女って感じがする,0
6,普通そうだと思いますよｗ,0
7,これ、毎回ちゃんと電話出てたら、展開違ったのかな？,0
8,アイテム取り忘れないの？,0
9,右下じゃなくて左上だろ,0
10,スカウトされなくてもいけるぞ,0
11,入賞だから問題無いよー,0
12,レベルアップーおめでとー♪,0
13,最近このシリーズが寝る前の日課,0
14,そりゃ、救国の英雄様とかだろうねぇｗ,0
15,どこぞの事務員かお前はｗ,0
16,お～、俺も犯人気になってたからこれは嬉しいｗ,0
17,これは現在の貨幣価値で五千万円程の金額である,0
18,ソーサラーレベル上がると嬉しいんだよなぁｗ,0
19,いきなりオーバーを計算に入れるなｗｗｗ,0
20,うちらはセッション終了後にレベルアップしてたっけ,0
21,中の人も家出状態だからな,0
22,ファイター辺りが兼業したほうが効率いいんだよなあ,0
23,36回に１回くらいは、今日みたいな日もある,0
24,一気に戦力上がったな,0
25,そもそもが中級者ですら厳しい内容だからなwww,0
26,このぐらいしないと生活費で詰みそうだしね,0
27,お嬢様は遊びは全力で楽しむタイプだね,0
28,現金じゃないから割増してあげたのね,0
29,コンセプトは変わらなくても印象は変わったはず,0
30,おおまだ車体残っているんだ,0
31,溜めてうまく売ったな,0
32,古木より応援歌にあってる,0
33,坂口は身体を上手く回転させるからね,0
34,こりゃ今の時代放送できんなｗ,0
35,もしかして今溶けたのもブレスレットの力？,0
36,始めて見たウルトラマンがこの回だったｗ,0
37,大事な事なので2回分放ちました,0
38,何このきれいな声,0
39,このタイミングで召喚できてれば勝ってたのか,0
40,おつかれさまー,0
41,宇治金時が食べたい,0
42,魔法の減り早っｗ,0
43,何回くろてんねん,0
44,ひびによく気づいたな！！,0
45,そろそろまじで回転斬りしろや,0
46,ふりかけタイム,0
47,目には弓じゃないのか？,0
48,暖かくなってきたねー,0
49,ブロック動かせば出るよ,0
50,盾の位置を把握してないな,0
51,連打する癖を直さないと,0
52,なつかしい。ここは難しかった,0
53,クリアできる気がしないな,0
54,むしろあたってないｗｗ,0
55,これ知らなかったああああああ,0
56,鍵はこの部屋にあります,0
57,しばらく逃げ回ってたら消えなかったっけ?,0
58,期待通りの反応ｗｗｗ,0
59,ここ複雑なのがなあ・・・,0
60,そうか、ミラーでいいんだな,0
61,ここは俺はかなり辛かった,0
62,姫だと主人公の師匠で没後なんだよね,0
63,安心と信頼の島津ブランド,0
64,月謝６０００円ってとこかな？,0
65,ゲストが多いｗ,0
66,よかったねｗ,0
67,まずぶつかってくるのありえね,0
68,ぜんぶみたい,0
69,何でもありだな,0
70,レベル１で大丈夫かな？,0
71,なかなか好きだけどベース気になる,0
72,風船ぶら下げとるがな,0
73,ベース真ん中にしてくれ,0
74,飽きるまで長すぎｗｗ,0
75,足場がわれてる,0
76,どういうことなんだ,0
77,そんなことないぞ！！,0
78,これはいいなｗ,0
79,お借りします！,0
80,ちょっとキャラの持ってる能力忘れすぎじゃね？,0
81,隊長登場ｗｗｗｗ,0
82,そういう時は合流するか、援護攻撃,0
83,同じようなデモはオフしないとクリアまでもたないかもよ？,0
84,また無意味な博打をｗｗｗ,0
